Unnamed: 0,Unnamed: 1,us,af,cn,me,sa,la,pa,ec,eu,se,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2.0,Actually working in 1980,103,139,494,41,322,114,92,163,194,128,,,,,,,,,,,,
3.0,barren land Mha in 1980,59.72495619,598.2240465,302.2241969,532.8848257,61.22054321,231.0054865,562.6281586,75.14572307,225.2606895,15.92733213,,,,,,,,,,,,
4.0,Cohort 0 to 4 in 1980,16.907701,66.801562,103.943347,31.569206,135.398637,51.48271,17.468252,30.095115,36.461211,52.640757,,,,,,,,,,,,
5.0,Cohort 5 to 9 in 1980,17.16009,53.164399,128.476879,26.126713,116.397822,46.652054,20.355446,28.12971,37.948148,48.979344,,,,,,,,,,,,
6.0,Cohort 10 to 14 in 1980,18.937472,43.940929,133.948072,22.767273,103.455397,43.046737,19.352604,26.373505,40.038377,44.788868,,,,,,,,,,,,
7.0,Cohort 15 to 19 in 1980,21.517461,37.081781,110.482973,19.527712,92.45383,38.903513,18.357064,28.52345,40.461573,39.511144,,,,,,,,,,,,
8.0,Cohort 20 to 24 in 1980,21.811934,30.935628,90.894947,16.288299,80.257425,33.005389,17.91206,29.336297,38.313199,33.807624,,,,,,,,,,,,
9.0,Cohort 25 to 29 in 1980,20.138849,25.760146,93.946222,13.536281,68.847659,27.871033,16.972093,27.08317,35.939231,27.181182,,,,,,,,,,,,
10.0,Cohort 30 to 34 in 1980,17.974136,21.495335,66.590184,10.146728,54.731414,22.358651,18.112017,21.926472,34.389834,20.342801,,,,,,,,,,,,
11.0,Cohort 35 to 39 in 1980,14.121209,18.108879,51.700304,8.11063,47.851363,18.467761,15.493868,15.930422,29.67315,17.549072,,,,,,,,,,,,
12.0,Cohort 40 to 44 in 1980,12.070419,15.198946,49.149275,7.572964,43.093241,16.067505,13.984643,23.983482,29.675089,16.226677,,,,,,,,,,,,
13.0,Cohort 45 to 49 in 1980,11.244823,12.965113,45.69956,6.93185,37.071677,13.794497,12.770963,18.980824,28.550904,14.252513,,,,,,,,,,,,
14.0,Cohort 50 to 54 in 1980,11.828181,10.749448,38.815752,5.904964,31.091128,12.146529,11.291777,21.209913,27.633985,11.668849,,,,,,,,,,,,
15.0,Cohort 55 to 59 in 1980,11.74942,8.775347,32.701491,4.775095,25.204065,9.803779,9.312608,14.806878,26.014931,9.277893,,,,,,,,,,,,
16.0,Cohort 60 to 64 in 1980,10.338319,6.855142,28.827934,3.581596,19.562152,7.63257,7.399335,9.679084,17.989821,7.301474,,,,,,,,,,,,
17.0,Cohort 65 to 69 in 1980,9.055611,4.996366,21.678415,2.675869,14.120648,6.146921,6.374208,11.556534,20.920551,5.764184,,,,,,,,,,,,
18.0,Cohort 70 to 74 in 1980,7.125723,3.267831,13.930002,1.9277,9.355379,4.356274,4.726761,8.852958,17.70716,3.986005,,,,,,,,,,,,
19.0,Cohort 75 to 79 in 1980,5.333089,1.784137,7.965224,1.14022,5.041373,2.754299,3.068127,5.648658,12.335414,2.328875,,,,,,,,,,,,
20.0,Cohort 80 to 84 in 1980,2.903295,0.730893,3.1889,0.527981,2.380668,1.442319,1.65191,2.706432,6.806791,1.077224,,,,,,,,,,,,
21.0,Cohort 85 to 89 in 1980,1.650329,0.193374,0.968024,0.168828,0.729614,0.527403,0.665821,1.108461,2.782826,0.360152,,,,,,,,,,,,
22.0,Cohort 90 to 94 in 1980,0.564662,0.02922,0.173605,0.0348,0.187232,0.145646,0.185384,0.364529,0.791019,0.085622,,,,,,,,,,,,
23.0,Cohort 95plus in 1980,0.134325,0.002834,0.020406,0.004407,0.033359,0.029358,0.031645,0.075015,0.13436,0.015641,,,,,,,,,,,,
24.0,cropland Mha in 1980,190.624,131.158,100.219,51.67,214.32,138.743208,68.646,248.075,145.6781,77.23114,,,,,,,,,,,,
25.0,forest area Mha in 1980,257.3930556,297.0961615,213.8790789,50,35.63406238,769.0765733,620.9718786,1066.659443,118.1062929,234.8353986,,,,,,,,,,,,
26.0,grazing land Mha in 1980,237.539,609.232,328.3,227.076,20.209,512.548,513.767,452.092,81.1108,15.133,,,,,,,,,,,,
27.0,populated land Mha in 1980,43.45237878,3.612001899,48.63942665,3.821255007,6.942764463,9.03041519,13.651522,2.953002004,14.52710928,6.669762511,,,,,,,,,,,,
28.0,acy k,0.0508,0.3,0.012,0.15,0.0198,0.1,0.027,0.06,0.085,0.03171,,Indicated crop yield tCrop/ha-yr func,,,,,,,,,,
29.0,acy L,6.24,4.6,15,4.5,10,12,5,6,12,11,,,SE handled with separate function,,,,,,,,,
30.0,acy x0,59.34,6.2,150,32,88,30,30,30,97,1,,,,,,,,,,,,
31.0,Birth rate para a,0.0982,0.2307,0.09,0.232,0.086,1.87,0.1317,0.0418,0.1214,0.1174,,,,af,cn,me,sa,la,pa,ec,eu,se
32.0,Birth rate para b,-0.472,-0.854,-0.01,-0.5599,-1.025,-1.92394,-0.459,-0.042,-0.414,-0.515,,,,CN handled with separate function,,,,,,,,
33.0,Birth rate para c,0.015,0,0.01,0,0.025,0.025,0,0,0,0,,,,,,,,,,,,
34.0,fos use pp para L,5.38,4,4,3.5,4,3.5,3.5,4,9.7,4,,,,af,cn,me,sa,la,pa,ec,eu,se
35.0,fos use pp para x0,80,15,1,22.03,16.81,60,6.134,20,-25,26.5,,,,CN handled with separate function,,,,,,,,
36.0,fos use pp para k,-0.06,0.25,0.01,0.055,0.197,0.027,0.0395,0.05,-0.0205,0.1,,,,,,,,,,,,
37.0,El use pp para L,8,10,10,8,8,8,12,12,8,10,,,,af,cn,me,sa,la,pa,ec,eu,se
38.0,El use pp para x0,6.2,13,13,22.6,13.49,22.6,20.34,26,6.2,28,,,,US handled with separate function,,,,,,,,
39.0,El use pp para k,0.055,0.3,0.3,0.0939,0.2541,0.0939,0.069,0.075,0.055,0.1,,,,,,,,,,,,
40.0,Debt finance route GL,3,3,3,3,3,3,3,3,3,3,,Govt spending / investment policy financed through zero-interest debt=2 through debt that is never repaid=3,,,,,,,,,,
41.0,Debt finance route TLTL,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
42.0,dr0 a,0.2044,0.0968,0.023972137,0.097056329,0.046345721,0.760547309,0.172593312,0.054848487,0.342606569,0.058103441,,,,,,,,,,,,
